id,time,opp,cog
1,0,205,137
1,1,217,137
1,2,268,137
1,3,302,137
2,0,219,123
2,1,243,123
2,2,279,123
2,3,302,123
3,0,142,129
3,1,212,129
3,2,250,129
3,3,289,129
4,0,206,125
4,1,230,125
4,2,248,125
4,3,273,125
5,0,190,81
5,1,220,81
5,2,229,81
5,3,220,81
6,0,165,110
6,1,205,110
6,2,207,110
6,3,263,110
7,0,170,99
7,1,182,99
7,2,214,99
7,3,268,99
8,0,96,113
8,1,131,113
8,2,159,113
8,3,213,113
9,0,138,104
9,1,156,104
9,2,197,104
9,3,200,104
10,0,216,96
10,1,252,96
10,2,274,96
10,3,298,96
11,0,180,125
11,1,225,125
11,2,215,125
11,3,249,125
12,0,97,115
12,1,136,115
12,2,168,115
12,3,222,115
13,0,145,109
13,1,161,109
13,2,151,109
13,3,177,109
14,0,195,95
14,1,184,95
14,2,209,95
14,3,213,95
15,0,162,118
15,1,138,118
15,2,204,118
15,3,195,118
16,0,119,120
16,1,148,120
16,2,164,120
16,3,208,120
17,0,144,118
17,1,166,118
17,2,236,118
17,3,261,118
18,0,107,115
18,1,165,115
18,2,193,115
18,3,262,115
19,0,167,120
19,1,201,120
19,2,233,120
19,3,216,120
20,0,156,118
20,1,156,118
20,2,197,118
20,3,246,118
21,0,165,126
21,1,228,126
21,2,279,126
21,3,290,126
22,0,197,121
22,1,181,121
22,2,185,121
22,3,217,121
23,0,206,108
23,1,209,108
23,2,230,108
23,3,255,108
24,0,182,104
24,1,196,104
24,2,217,104
24,3,199,104
25,0,174,118
25,1,198,118
25,2,229,118
25,3,236,118
26,0,199,104
26,1,238,104
26,2,253,104
26,3,282,104
27,0,160,124
27,1,178,124
27,2,189,124
27,3,229,124
28,0,184,130
28,1,231,130
28,2,260,130
28,3,292,130
29,0,174,87
29,1,194,87
29,2,189,87
29,3,188,87
30,0,215,131
30,1,226,131
30,2,257,131
30,3,310,131
31,0,147,109
31,1,188,109
31,2,197,109
31,3,232,109
32,0,127,115
32,1,172,115
32,2,222,115
32,3,273,115
33,0,165,104
33,1,217,104
33,2,230,104
33,3,286,104
34,0,76,110
34,1,139,110
34,2,150,110
34,3,214,110
35,0,166,110
35,1,197,110
35,2,203,110
35,3,233,110
